version,2.2.0
info,balls_per_over,6
info,team,Royal Challengers Bengaluru
info,team,Gujarat Titans
info,gender,male
info,season,2026
info,date,2026/04/30
info,event,Indian Premier League
info,match_number,42
info,venue,"Narendra Modi Stadium, Ahmedabad"
info,city,Ahmedabad
info,toss_winner,Gujarat Titans
info,toss_decision,field
info,player_of_match,JO Holder
info,umpire,AT Holdstock
info,umpire,KN Ananthapadmanabhan
info,reserve_umpire,P Joshi
info,tv_umpire,Abhijit Bhattacharya
info,match_referee,IR Siddiqui
info,winner,Gujarat Titans
info,winner_wickets,4
info,player,Royal Challengers Bengaluru,JG Bethell
info,player,Royal Challengers Bengaluru,V Kohli
info,player,Royal Challengers Bengaluru,D Padikkal
info,player,Royal Challengers Bengaluru,RM Patidar
info,player,Royal Challengers Bengaluru,JM Sharma
info,player,Royal Challengers Bengaluru,TH David
info,player,Royal Challengers Bengaluru,KH Pandya
info,player,Royal Challengers Bengaluru,R Shepherd
info,player,Royal Challengers Bengaluru,VR Iyer
info,player,Royal Challengers Bengaluru,B Kumar
info,player,Royal Challengers Bengaluru,JR Hazlewood
info,player,Royal Challengers Bengaluru,Suyash Sharma
info,player,Gujarat Titans,Mohammed Siraj
info,player,Gujarat Titans,B Sai Sudharsan
info,player,Gujarat Titans,Shubman Gill
info,player,Gujarat Titans,JC Buttler
info,player,Gujarat Titans,Washington Sundar
info,player,Gujarat Titans,M Shahrukh Khan
info,player,Gujarat Titans,R Tewatia
info,player,Gujarat Titans,JO Holder
info,player,Gujarat Titans,Rashid Khan
info,player,Gujarat Titans,Arshad Khan
info,player,Gujarat Titans,K Rabada
info,player,Gujarat Titans,MJ Suthar
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Abhijit Bhattacharya,59ec9638
info,registry,people,Arshad Khan,12314277
info,registry,people,B Kumar,2e81a32d
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,D Padikkal,2c25d4f5
info,registry,people,IR Siddiqui,6436f803
info,registry,people,JC Buttler,99b75528
info,registry,people,JG Bethell,3c55c703
info,registry,people,JM Sharma,800d2d97
info,registry,people,JO Holder,0f721006
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,K Rabada,e62dd25d
info,registry,people,KH Pandya,5b8c830e
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,MJ Suthar,025c4400
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,P Joshi,ffc0e370
info,registry,people,R Shepherd,c5aef772
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RM Patidar,c740ea83
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Shubman Gill,b4b99816
info,registry,people,Suyash Sharma,9440ef41
info,registry,people,TH David,f1f99156
info,registry,people,V Kohli,ba607b88
info,registry,people,VR Iyer,a24be938
info,registry,people,Washington Sundar,f19ccfad
